token,domain,field,raw_value_en,value_norm,map_to_snomed,snomed_concept_id,snomed_fsn,snomed_semantic_tag,mapping_confidence,status,notes
sick.hpi.context.none,hpi,context,None,none,FALSE,,,,,pending,
sick.hpi.context.sick_contact,hpi,context,Sick contact,sick_contact,FALSE,,,,,pending,
sick.hpi.context.travel,hpi,context,Travel,travel,FALSE,,,,,pending,
sick.hpi.feeding.decreased,hpi,feeding,Decreased,decreased,TRUE,79890006,Decreased appetite (finding),(finding),close,reviewed,
sick.hpi.feeding.normal,hpi,feeding,Normal,normal,FALSE,,,,,pending,
sick.hpi.feeding.refuses,hpi,feeding,Refuses,refuses,TRUE,364652002,Refusal to feed (finding),(finding),exact,reviewed,
sick.hpi.pain_location.abdominal,hpi,pain_location,Abdominal,abdominal,FALSE,,,,,pending,
sick.hpi.pain_location.ear,hpi,pain_location,Ear,ear,FALSE,,,,,pending,
sick.hpi.pain_location.head,hpi,pain_location,Head,head,FALSE,,,,,pending,
sick.hpi.pain_location.limb,hpi,pain_location,Limb,limb,FALSE,,,,,pending,
sick.hpi.pain_location.neck,hpi,pain_location,Neck,neck,FALSE,,,,,pending,
sick.hpi.pain_location.none,hpi,pain_location,None,none,FALSE,,,,,pending,
sick.hpi.pain_location.throat,hpi,pain_location,Throat,throat,FALSE,,,,,pending,
sick.hpi.stools.bloody_diarrhea,hpi,stools,Bloody diarrhea,bloody_diarrhea,TRUE,95545007,Bloody diarrhea (finding),(finding),exact,reviewed,
sick.hpi.stools.hard,hpi,stools,Hard,hard,TRUE,75295004,Hard stool (finding),(finding),exact,reviewed,
sick.hpi.stools.liquid,hpi,stools,Liquid,liquid,TRUE,62315008,Diarrhea (finding),(finding),close,reviewed,
sick.hpi.stools.normal,hpi,stools,Normal,normal,FALSE,,,,,pending,
sick.hpi.stools.soft,hpi,stools,Soft,soft,FALSE,,,,,pending,
sick.hpi.urination.decreased,hpi,urination,Decreased,decreased,TRUE,83128009,Oliguria (finding),(finding),exact,reviewed,
sick.hpi.urination.foul_smelling,hpi,urination,Foul-smelling,foul_smelling,TRUE,278017001,Foul smelling urine (finding),(finding),exact,reviewed,
sick.hpi.urination.normal,hpi,urination,Normal,normal,FALSE,,,,,pending,
sick.hpi.urination.painful,hpi,urination,Painful,painful,TRUE,49650001,Dysuria (finding),(finding),exact,reviewed,
sick.pe.abdomen.distended,pe,abdomen,Distended,distended,TRUE,41931001,Abdominal distension (finding),(finding),exact,reviewed,
sick.pe.abdomen.epigastric_pain,pe,abdomen,Epigastric pain,epigastric_pain,TRUE,119416008,Epigastric pain (finding),(finding),exact,reviewed,
sick.pe.abdomen.guarding,pe,abdomen,Guarding,guarding,TRUE,249545003,Abdominal guarding (finding),(finding),exact,reviewed,
sick.pe.abdomen.hypogastric_pain,pe,abdomen,Hypogastric pain,hypogastric_pain,TRUE,30473006,Hypogastric pain (finding),(finding),exact,reviewed,
sick.pe.abdomen.llq_pain,pe,abdomen,LLQ pain,llq_pain,TRUE,301716002,Left lower quadrant pain (finding),(finding),exact,reviewed,
sick.pe.abdomen.normal,pe,abdomen,Normal,normal,FALSE,,,,,pending,
sick.pe.abdomen.periumbilical_pain,pe,abdomen,Periumbilical pain,periumbilical_pain,TRUE,443503005,Periumbilical pain (finding),(finding),exact,reviewed,
sick.pe.abdomen.rebound,pe,abdomen,Rebound,rebound,TRUE,35611005,Rebound tenderness (finding),(finding),exact,reviewed,
sick.pe.abdomen.rlq_pain,pe,abdomen,RLQ pain,rlq_pain,TRUE,301754002,Right lower quadrant pain (finding),(finding),exact,reviewed,
sick.pe.abdomen.tender,pe,abdomen,Tender,tender,TRUE,43478001,Abdominal tenderness (finding),(finding),exact,reviewed,
sick.pe.color.normal,pe,color,Normal,normal,FALSE,,,,,pending,
sick.pe.color.pale,pe,color,Pale,pale,TRUE,1209208002,Pallor (finding),(finding),exact,reviewed,
sick.pe.color.yellow,pe,color,Yellow,yellow,TRUE,18165001,Jaundice (finding),(finding),exact,reviewed,
sick.pe.ear.normal,pe,ear,Normal,normal,FALSE,,,,,pending,
sick.pe.ear.not_seen_wax,pe,ear,Not seen (wax),not_seen_wax,FALSE,,,,,pending,
sick.pe.ear.pus_in_canal,pe,ear,Pus in canal,pus_in_canal,TRUE,65668001,Otorrhea (finding),(finding),exact,reviewed,
sick.pe.ear.red_and_bulging_with_pus,pe,ear,Red & Bulging with pus,red_and_bulging_with_pus,TRUE,271742008,Bulging tympanic membrane (finding),(finding),exact,reviewed,
sick.pe.ear.red_canal,pe,ear,Red canal,red_canal,TRUE,277172003,Erythema of external auditory canal (finding),(finding),exact,reviewed,
sick.pe.ear.red_tm,pe,ear,Red TM,red_tm,TRUE,164236006,Erythematous tympanic membrane (finding),(finding),exact,reviewed,
sick.pe.ent.congested_nose,pe,ent,Congested nose,congested_nose,TRUE,68235000,Nasal congestion (finding),(finding),exact,reviewed,
sick.pe.ent.ear_discharge,pe,ent,Ear discharge,ear_discharge,TRUE,65668001,Otorrhea (finding),(finding),exact,reviewed,
sick.pe.ent.normal,pe,ent,Normal,normal,FALSE,,,,,pending,
sick.pe.ent.red_throat,pe,ent,Red throat,red_throat,TRUE,126662008,Erythema of pharynx (finding),(finding),exact,reviewed,
sick.pe.ent.tonsil_deposits,pe,ent,Tonsil deposits,tonsil_deposits,TRUE,90176007,Tonsillar exudate (finding),(finding),exact,reviewed,
sick.pe.eye.crusty,pe,eye,Crusty,crusty,TRUE,1141807004,Crusting of eyelid (finding),(finding),close,reviewed,
sick.pe.eye.discharge,pe,eye,Discharge,discharge,TRUE,246679005,Discharge from eye (finding),(finding),exact,reviewed,
sick.pe.eye.eyelid_swelling,pe,eye,Eyelid swelling,eyelid_swelling,TRUE,193967004,Swelling of eyelid (finding),(finding),exact,reviewed,
sick.pe.eye.normal,pe,eye,Normal,normal,FALSE,,,,,pending,
sick.pe.eye.red,pe,eye,Red,red,TRUE,193894004,Conjunctival hyperemia (finding),(finding),exact,reviewed,
sick.pe.general_appearance.irritable,pe,general_appearance,Irritable,irritable,TRUE,162725004,Irritable (finding),(finding),exact,reviewed,
sick.pe.general_appearance.lethargic,pe,general_appearance,Lethargic,lethargic,TRUE,271782001,Lethargy (finding),(finding),exact,reviewed,
sick.pe.general_appearance.tired,pe,general_appearance,Tired,tired,TRUE,84229001,Fatigue (finding),(finding),close,reviewed,
sick.pe.general_appearance.well,pe,general_appearance,Well,well,FALSE,,,,,pending,
sick.pe.genitalia.discharge,pe,genitalia,Discharge,discharge,TRUE,248952001,Discharge from female genitalia (finding),(finding),exact,reviewed,
sick.pe.genitalia.normal,pe,genitalia,Normal,normal,FALSE,,,,,pending,
sick.pe.genitalia.redness,pe,genitalia,Redness,redness,TRUE,442279002,Erythema of genitalia (finding),(finding),exact,reviewed,
sick.pe.genitalia.swelling,pe,genitalia,Swelling,swelling,TRUE,198068005,Male genital organ edema (disorder),(finding),exact,reviewed,
sick.pe.heart.bradycardia,pe,heart,Bradycardia,bradycardia,TRUE,48867003,Bradycardia (finding),(finding),exact,reviewed,
sick.pe.heart.murmur,pe,heart,Murmur,murmur,TRUE,88610006,Heart murmur (finding),(finding),exact,reviewed,
sick.pe.heart.normal,pe,heart,Normal,normal,FALSE,,,,,pending,
sick.pe.heart.tachycardia,pe,heart,Tachycardia,tachycardia,TRUE,3424008,Tachycardia (finding),(finding),exact,reviewed,
sick.pe.hydration.decreased,pe,hydration,Decreased,decreased,TRUE,34095006,Dehydration (disorder),(disorder),close,reviewed,
sick.pe.hydration.normal,pe,hydration,Normal,normal,FALSE,,,,,pending,
sick.pe.lungs.crackles,pe,lungs,Crackles,crackles,TRUE,48409008,Respiratory crackles (finding),(finding),exact,reviewed,
sick.pe.lungs.crackles_l,pe,lungs,Crackles (L),crackles_l,TRUE,48409008,Respiratory crackles (finding),(finding),exact,reviewed,
sick.pe.lungs.crackles_r,pe,lungs,Crackles (R),crackles_r,TRUE,48409008,Respiratory crackles (finding),(finding),exact,reviewed,
sick.pe.lungs.decreased_sounds,pe,lungs,Decreased sounds,decreased_sounds,TRUE,58840004,Decreased breath sounds (finding),(finding),exact,reviewed,
sick.pe.lungs.decreased_sounds_l,pe,lungs,Decreased sounds (L),decreased_sounds_l,TRUE,58840004,Decreased breath sounds (finding),(finding),exact,reviewed,
sick.pe.lungs.decreased_sounds_r,pe,lungs,Decreased sounds (R),decreased_sounds_r,TRUE,58840004,Decreased breath sounds (finding),(finding),exact,reviewed,
sick.pe.lungs.normal,pe,lungs,Normal,normal,FALSE,,,,,pending,
sick.pe.lungs.rhonchi,pe,lungs,Rhonchi,rhonchi,TRUE,268929007,Rhonchi (finding),(finding),exact,reviewed,
sick.pe.lungs.rhonchi_l,pe,lungs,Rhonchi (L),rhonchi_l,TRUE,268929007,Rhonchi (finding),(finding),exact,reviewed,
sick.pe.lungs.rhonchi_r,pe,lungs,Rhonchi (R),rhonchi_r,TRUE,268929007,Rhonchi (finding),(finding),exact,reviewed,
sick.pe.lungs.wheeze,pe,lungs,Wheeze,wheeze,TRUE,56018004,Wheezing (finding),(finding),exact,reviewed,
sick.pe.lungs.wheeze_l,pe,lungs,Wheeze (L),wheeze_l,TRUE,56018004,Wheezing (finding),(finding),exact,reviewed,
sick.pe.lungs.wheeze_r,pe,lungs,Wheeze (R),wheeze_r,TRUE,56018004,Wheezing (finding),(finding),exact,reviewed,
sick.pe.lymph_nodes.cervical,pe,lymph_nodes,Cervical,cervical,TRUE,127086001,Cervical lymphadenopathy (disorder),(disorder),close,reviewed,
sick.pe.lymph_nodes.generalized,pe,lymph_nodes,Generalized,generalized,TRUE,274741002,Generalized lymphadenopathy (disorder),(disorder),exact,reviewed,
sick.pe.lymph_nodes.none,pe,lymph_nodes,None,none,FALSE,,,,,pending,
sick.pe.lymph_nodes.submandibular,pe,lymph_nodes,Submandibular,submandibular,TRUE,127082004,Submandibular lymphadenopathy (disorder),(disorder),close,reviewed,
sick.pe.lymph_nodes.tender,pe,lymph_nodes,Tender,tender,TRUE,300942003,Tender lymph node (finding),(finding),close,reviewed,
sick.pe.musculoskeletal.limping,pe,musculoskeletal,Limping,limping,TRUE,16973004,Limping (finding),(finding),exact,reviewed,
sick.pe.musculoskeletal.normal,pe,musculoskeletal,Normal,normal,FALSE,,,,,pending,
sick.pe.musculoskeletal.pain,pe,musculoskeletal,Pain,pain,TRUE,22253000,Pain (finding),(finding),exact,reviewed,
sick.pe.musculoskeletal.swollen_joint,pe,musculoskeletal,Swollen joint,swollen_joint,TRUE,271771009,Joint swelling (finding),(finding),exact,reviewed,
sick.pe.neurological.abnormal_tone,pe,neurological,Abnormal tone,abnormal_tone,TRUE,398152000,Poor muscle tone (finding),(finding),exact,reviewed,
sick.pe.neurological.alert,pe,neurological,Alert,alert,FALSE,,,,,pending,
sick.pe.neurological.irritable,pe,neurological,Irritable,irritable,TRUE,55929007,Feeling irritable (finding),(finding),exact,reviewed,
sick.pe.neurological.sleepy,pe,neurological,Sleepy,sleepy,TRUE,271782001,Drowsy (finding),(finding),exact,reviewed,
sick.pe.peristalsis.decreased,pe,peristalsis,Decreased,decreased,TRUE,15280003,Decreased bowel sounds (finding),(finding),exact,reviewed,
sick.pe.peristalsis.increased,pe,peristalsis,Increased,increased,TRUE,80306002,Increased peristalsis (finding),(finding),exact,reviewed,
sick.pe.peristalsis.normal,pe,peristalsis,Normal,normal,FALSE,,,,,pending,
sick.pe.skin.dry_scaly_rash,pe,skin,"Dry, scaly rash",dry_scaly_rash,TRUE,260046006,Dry skin dermatitis (disorder),(disorder),high,reviewed,
sick.pe.skin.macular_rash,pe,skin,Macular rash,macular_rash,TRUE,271807003,Rash (finding),(finding),exact,reviewed,
sick.pe.skin.maculopapular_rash,pe,skin,Maculopapular rash,maculopapular_rash,TRUE,247471006,Maculopapular rash (finding),,,reviewed,
sick.pe.skin.normal,pe,skin,Normal,normal,FALSE,,,,,pending,
sick.pe.skin.papular_rash,pe,skin,Papular rash,papular_rash,TRUE,271757001,Papular eruption (disorder),(disorder),exact,reviewed,
sick.pe.skin.petechiae,pe,skin,Petechiae,petechiae,TRUE,271813007,Petechiae (finding),(finding),exact,reviewed,
sick.pe.skin.purpura,pe,skin,Purpura,purpura,TRUE,387778001,Purpura (finding),(finding),exact,reviewed,
